#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,AUTO_GRAM
#doc=reaction_on_mv_ice_cream_cake.2.txt,,,,,,,,,,,,,,,
1,﻿,﻿,PUNC,,,,,,,,,PUNC,﻿,PUNC,
2,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
3,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
4,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
5,включаю,ВКЛЮЧАТЬ,V ipf praes sg indic act tran 1p,,,ю,а,ч,ю,л,к,V,ВКЛЮЧАТЬ,V ipf praes sg indic - 1p,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,вижу,ВИДЕТЬ,V ipf praes sg indic act tran 1p,,,у,ж,и,в,,,V,ВИДЕТЬ,V ipf praes sg indic - 1p,
5,тортик,ТОРТИК,S m inan acc sg,,,к,и,т,р,о,т,S,ТОРТИК,S m inan acc sg,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,хочу,ХОТЕТЬ,V ipf praes sg indic - 1p,,,у,ч,о,х,,,V,ХОТЕТЬ,V ipf praes sg indic - 1p,
5,есть,ЕСТЬ,V ipf - - inf - -,,,ь,т,с,е,,,V,ЕСТЬ,V ipf - - inf - -,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,хочу,ХОТЕТЬ,V ipf praes sg indic - 1p,,,у,ч,о,х,,,V,ХОТЕТЬ,V ipf praes sg indic - 1p,
5,есть,ЕСТЬ,V ipf - - inf - -,,,ь,т,с,е,,,V,ЕСТЬ,V ipf - - inf - -,
6,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
7,хотя,ХОТЯ,CONJ,,,я,т,о,х,,,CONJ,ХОТЯ,CONJ,
8,мы,МЫ,SPRO pl 1p - nom,,,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,
9,только,ТОЛЬКО,PART,,,о,к,ь,л,о,т,PART,ТОЛЬКО,PART,
10,что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
11,ели,ЕСТЬ,V ipf praet pl indic - -,,,и,л,е,,,,V,ЕСТЬ,V ipf praet pl indic - -,
12,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Мне,Я,SPRO sg 1p - dat,,,е,н,м,,,,SPRO,Я,SPRO sg 1p - loc,
4,нравится,НРАВИТЬСЯ,V ipf praes sg indic med tran 3p,,,я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,
5,мелодия,МЕЛОДИЯ,S f inan nom sg,,,я,и,д,о,л,е,S,МЕЛОДИЯ,S f inan nom sg,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Позитивная,ПОЗИТИВНЫЙ,A sg plen f nom,,,я,а,н,в,и,т,A,ПОЗИТИВНЫЙ,A comp2 - - plen - -,
2,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,CONJ,,,а,д,,,,,CONJ,ДА,CONJ,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,она,ОНА,SPRO sg 3p f nom,,,а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,
6,классная,КЛАССНЫЙ,A - nom sg plen f -,,,я,а,н,с,с,а,A,КЛАССНЫЙ,A - nom sg plen f -,
7,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Почему,ПОЧЕМУ,ADV -,,,у,м,е,ч,о,п,ADV,ПОЧЕМУ,ADV -,
4,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
5,все,ВЕСЬ,SPRO nom sg ,,,е,с,в,,,,A,ВЕСЬ,A - nom pl plen - -,
6,такие,ТАКОЙ,A - nom pl plen - -,,,е,и,к,а,т,,A,ТАКОЙ,A - nom pl plen - -,
7,красивые,КРАСИВЫЙ,A - nom pl plen - -,,,е,ы,в,и,с,а,A,КРАСИВЫЙ,A - nom pl plen - -,
8,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
